time(sec),Fx1,Fy1,Fz1,COPx1,COPy1,COPz1,Tz1,Fx2,Fy2,Fz2,COPx2,COPy2,COPz2,Tz2,Fx3,Fy3,Fz3,COPx3,COPy3,COPz3,Tz3
6.315000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.315833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.316667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.317500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.318333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.319167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.320000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.320833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.321667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.322500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.323333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.324167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.325000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.325833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.326667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.327500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.328333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.329167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.330000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.330833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.331667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.332500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.333333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.334167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.335000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.335833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.336667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.337500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.338333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.339167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.340000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
